BRECKENRIDGE
1980-01,M,M,3.24,38.0
1980-02,M,M,1.68,25.0
1980-03,M,M,2.96,40.5
1980-04,M,M,2.52,28.0
1980-05,M,M,2.49,13.9
1980-06,M,M,0.06,0.0
1980-07,M,M,2.90,0.0
1980-08,M,M,1.44,0.0
1980-09,M,M,2.24,0.0
1980-10,M,M,0.89,8.3
1980-11,M,M,0.38,7.2
1980-12,M,M,0.35,4.5
1981-01,M,M,0.23,6.0
1981-02,M,M,0.16,2.9
1981-03,M,M,0.95,19.4
1981-04,M,M,0.74,9.2
1981-05,M,M,2.50,2.1
1981-06,M,M,0.91,0.0
1981-07,M,M,2.77,0.0
1981-08,M,M,2.61,0.0
1981-09,M,M,2.00,0.0
1981-10,M,M,M,M
1981-11,M,M,0.79,15.0
1981-12,M,M,2.99,48.7
1982-01,M,M,0.99,30.4
1982-02,M,M,0.26,2.1
1982-03,M,M,0.32,12.3
1982-04,M,M,1.10,9.1
1982-05,M,M,2.12,20.4
1982-06,M,M,0.90,0.0
1982-07,M,M,1.68,0.0
1982-08,M,M,3.19,0.0
1982-09,M,M,2.17,0.8
1982-10,M,M,0.93,15.0
1982-11,M,M,1.07,21.3
1982-12,M,M,0.83,15.8
1983-01,M,M,0.88,16.3
1983-02,M,M,1.15,26.3
1983-03,M,M,2.19,41.7
1983-04,M,M,1.43,21.8
1983-05,M,M,2.73,35.3
1983-06,M,M,2.05,2.5
1983-07,M,M,1.12,0.0
1983-08,M,M,4.00,0.0
1983-09,M,M,0.45,0.0
1983-10,M,M,1.12,10.8
1983-11,M,M,2.56,38.6
1983-12,M,M,4.85,95.1
1984-01,M,M,0.50,8.3
1984-02,M,M,1.04,18.4
1984-03,M,M,1.83,29.3
1984-04,M,M,2.29,33.2
1984-05,M,M,1.84,20.5
1984-06,M,M,2.79,16.1
1984-07,M,M,4.90,0.0
1984-08,M,M,4.40,0.0
1984-09,M,M,1.21,2.0
1984-10,M,M,M,M
1984-11,M,M,0.69,15.6
1984-12,M,M,1.16,23.7
1985-01,M,M,1.38,23.2
1985-02,M,M,0.63,12.1
1985-03,M,M,1.46,23.6
1985-04,M,M,M,M
1985-05,M,M,1.56,7.7
1985-06,M,M,0.88,0.5
1985-07,M,M,2.50,0.0
1985-08,M,M,0.62,0.0
1985-09,M,M,M,M
1985-10,M,M,1.57,11.5
1985-11,M,M,2.18,35.8
1985-12,M,M,1.09,20.8
1986-01,M,M,0.60,13.2
1986-02,M,M,3.03,41.9
1986-03,M,M,0.81,9.7
1986-04,M,M,2.07,34.2
1986-05,M,M,M,M
1986-06,M,M,1.90,1.5
1986-07,M,M,2.86,0.0
1986-08,M,M,2.16,0.0
1986-09,M,M,1.54,7.0
1986-10,M,M,2.60,10.0
1986-11,M,M,1.24,16.4
1986-12,M,M,0.52,9.6
1987-01,M,M,1.12,21.3
1987-02,M,M,1.07,24.1
1987-03,M,M,M,M
1987-04,M,M,1.71,26.8
1987-05,M,M,1.36,3.0
1987-06,M,M,1.51,0.0
1987-07,M,M,1.52,0.0
1987-08,M,M,2.03,0.0
1987-09,M,M,0.47,0.0
1987-10,M,M,0.67,4.5
1987-11,M,M,1.66,19.6
1987-12,M,M,1.46,26.0
1988-01,M,M,1.95,24.1
1988-02,M,M,1.30,15.8
1988-03,M,M,2.83,33.1
1988-04,M,M,1.23,11.2
1988-05,M,M,1.17,12.5
1988-06,M,M,1.00,0.5
1988-07,M,M,1.18,0.0
1988-08,M,M,1.64,0.0
1988-09,M,M,0.52,0.0
1988-10,M,M,0.66,2.3
1988-11,M,M,1.73,33.2
1988-12,M,M,1.21,8.2
1989-01,M,M,1.16,12.5
1989-02,M,M,1.73,27.6
1989-03,M,M,2.25,23.3
1989-04,M,M,3.00,46.1
1989-05,M,M,1.92,12.0
1989-06,M,M,1.24,2.6
1989-07,M,M,2.46,0.0
1989-08,M,M,1.68,0.0
1989-09,M,M,0.91,2.4
1989-10,M,M,M,M
1989-11,M,M,0.00,18.5
1989-12,M,M,1.17,24.9
1990-01,M,M,0.47,13.3
1990-02,M,M,0.30,9.6
1990-03,M,M,1.94,28.2
1990-04,M,M,1.78,22.6
1990-05,M,M,1.50,11.9
1990-06,M,M,0.36,0.0
1990-07,M,M,3.11,0.0
1990-08,M,M,2.49,0.0
1990-09,M,M,2.33,0.0
1990-10,M,M,1.81,19.0
1990-11,M,M,0.56,13.0
1990-12,M,M,1.02,14.0
1991-01,M,M,0.57,16.5
1991-02,M,M,0.35,10.0
1991-03,M,M,1.59,26.8
1991-04,M,M,2.25,29.2
1991-05,M,M,1.61,12.3
1991-06,M,M,1.63,0.0
1991-07,M,M,2.09,0.0
1991-08,M,M,2.19,0.0
1991-09,M,M,1.16,3.0
1991-10,M,M,1.07,18.5
1991-11,M,M,1.82,42.8
1991-12,M,M,0.08,3.5
1992-01,M,M,0.28,9.4
1992-02,M,M,0.54,11.5
1992-03,M,M,2.94,39.4
1992-04,M,M,1.68,16.6
1992-05,M,M,2.18,1.0
1992-06,M,M,1.65,2.0
1992-07,M,M,1.65,0.0
1992-08,M,M,2.92,0.0
1992-09,M,M,1.48,1.0
1992-10,M,M,0.74,5.8
1992-11,M,M,1.60,27.8
1992-12,M,M,0.93,15.8
1993-01,M,M,1.44,25.3
1993-02,M,M,2.95,47.8
1993-03,M,M,3.05,40.9
1993-04,M,M,2.17,27.3
1993-05,M,M,2.31,1.5
1993-06,M,M,1.56,4.0
1993-07,M,M,1.34,1.0
1993-08,M,M,0.85,0.0
1993-09,M,M,1.59,7.0
1993-10,M,M,1.95,20.3
1993-11,M,M,1.45,26.0
1993-12,M,M,0.41,12.3
1994-01,M,M,1.50,28.3
1994-02,M,M,1.06,17.3
1994-03,M,M,0.99,19.3
1994-04,M,M,2.68,37.8
1994-05,M,M,1.01,0.0
1994-06,M,M,0.68,0.0
1994-07,M,M,0.56,0.0
1994-08,M,M,3.67,0.0
1994-09,M,M,1.95,0.0
1994-10,M,M,0.73,7.5
1994-11,M,M,1.02,21.8
1994-12,M,M,0.43,9.8
1995-01,M,M,0.67,16.0
1995-02,M,M,3.02,45.0
1995-03,M,M,2.65,35.8
1995-04,M,M,4.02,53.8
1995-05,M,M,4.67,27.0
1995-06,M,M,3.74,0.5
1995-07,M,M,1.88,0.0
1995-08,M,M,1.78,0.0
1995-09,M,M,2.54,1.0
1995-10,M,M,1.24,13.5
1995-11,M,M,1.90,28.3
1995-12,M,M,1.85,27.5
1996-01,M,M,4.49,72.0
1996-02,M,M,3.44,48.8
1996-03,M,M,1.67,23.0
1996-04,M,M,1.87,27.3
1996-05,M,M,2.42,6.0
1996-06,M,M,1.48,0.0
1996-07,M,M,0.85,0.0
1996-08,M,M,0.70,T
1996-09,M,M,2.88,14.0
1996-10,M,M,1.39,16.8
1996-11,M,M,1.81,34.8
1996-12,M,M,3.46,49.9
1997-01,M,M,1.77,30.2
1997-02,M,M,1.61,25.0
1997-03,M,M,0.96,18.6
1997-04,M,M,3.58,46.6
1997-05,M,M,1.72,5.0
1997-06,M,M,1.16,0.0
1997-07,M,M,1.04,0.0
1997-08,M,M,3.23,0.0
1997-09,M,M,1.34,0.0
1997-10,M,M,1.24,17.0
1997-11,M,M,1.62,25.5
1997-12,M,M,0.38,8.8
1998-01,M,M,1.55,29.3
1998-02,M,M,1.18,19.5
1998-03,M,M,1.57,26.0
1998-04,M,M,1.92,28.5
1998-05,M,M,0.12,2.0
1998-06,M,M,0.80,2.8
1998-07,M,M,3.92,T
1998-08,M,M,1.60,0.0
1998-09,M,M,2.20,0.0
1998-10,M,M,2.14,8.0
1998-11,M,M,0.95,18.5
1998-12,M,M,0.92,19.0
1999-01,M,M,1.94,36.0
1999-02,M,M,1.54,30.5
1999-03,M,M,0.91,16.0
1999-04,M,M,3.17,31.0
1999-05,M,M,3.01,20.5
1999-06,M,M,1.70,0.5
1999-07,M,M,3.16,0.0
1999-08,M,M,2.85,0.0
1999-09,M,M,1.02,1.0
1999-10,M,M,1.12,11.5
1999-11,M,M,0.55,11.5
1999-12,M,M,1.66,21.5
2000-01,M,M,2.64,49.0
2000-02,M,M,1.02,20.0
2000-03,M,M,1.53,27.5
2000-04,M,M,2.40,27.0
2000-05,M,M,1.54,0.5
2000-06,M,M,1.75,0.0
2000-07,M,M,2.12,0.0
2000-08,M,M,4.67,0.0
2000-09,M,M,1.97,0.0
2000-10,M,M,0.68,0.0
2000-11,M,M,1.56,29.0
2000-12,M,M,1.67,34.5
2001-01,M,M,0.30,9.5
2001-02,M,M,0.97,18.5
2001-03,M,M,2.72,32.0
2001-04,M,M,2.23,22.5
2001-05,M,M,1.54,17.5
2001-06,M,M,0.81,1.5
2001-07,M,M,2.81,0.0
2001-08,M,M,2.12,0.0
2001-09,M,M,1.77,6.0
2001-10,M,M,0.32,4.0
2001-11,M,M,1.42,23.0
2001-12,M,M,0.61,13.0
2002-01,M,M,0.84,20.0
2002-02,M,M,1.11,17.0
2002-03,M,M,1.44,15.0
2002-04,M,M,0.68,7.0
2002-05,M,M,1.02,7.5
2002-06,M,M,0.24,0.0
2002-07,M,M,1.50,0.0
2002-08,M,M,1.35,0.0
2002-09,M,M,1.94,1.0
2002-10,M,M,1.58,16.0
2002-11,M,M,2.40,37.5
2002-12,M,M,0.38,7.5
2003-01,M,M,0.51,16.0
2003-02,M,M,2.34,33.5
2003-03,M,M,3.45,47.5
2003-04,M,M,1.63,26.5
2003-05,M,M,0.93,5.5
2003-06,M,M,2.17,3.0
2003-07,M,M,1.04,0.0
2003-08,M,M,1.87,0.0
2003-09,M,M,1.24,0.0
2003-10,M,M,0.42,0.0
2003-11,M,M,2.01,28.0
2003-12,M,M,1.10,14.5
2004-01,M,M,0.66,12.0
2004-02,M,M,1.16,20.0
2004-03,M,M,1.04,14.0
2004-04,M,M,1.35,14.5
2004-05,M,M,0.62,7.5
2004-06,M,M,1.27,0.5
2004-07,M,M,3.59,0.0
2004-08,M,M,1.78,0.0
2004-09,M,M,1.92,6.5
2004-10,M,M,1.18,11.0
2004-11,M,M,1.32,22.0
2004-12,M,M,0.71,16.5
