TELLURIDE 4WNW
1991-01,38.4,4.0,1.49,37.0
1991-02,48.2,10.7,0.78,16.0
1991-03,43.0,15.6,2.83,76.0
1991-04,50.4,23.9,1.44,26.0
1991-05,65.6,32.5,0.79,4.0
1991-06,72.4,37.8,1.72,0.0
1991-07,77.5,40.6,2.28,0.0
1991-08,77.5,41.4,3.35,0.0
1991-09,71.2,35.7,2.77,0.0
1991-10,64.9,26.4,1.14,20.0
1991-11,44.2,17.7,3.14,57.0
1991-12,39.5,8.6,1.13,24.0
1992-01,41.2,5.0,0.77,20.5
1992-02,43.8,12.7,1.26,33.0
1992-03,47.9,20.5,2.57,58.0
1992-04,64.0,27.9,0.97,9.0
1992-05,67.3,33.3,4.27,1.0
1992-06,74.4,36.1,1.44,0.0
1992-07,76.7,41.0,3.22,0.0
1992-08,76.2,41.1,2.70,0.0
1992-09,73.6,35.1,1.24,0.0
1992-10,65.6,29.3,0.77,5.0
1992-11,39.0,10.9,2.25,47.5
1992-12,37.7,9.9,1.09,26.0
1993-01,39.6,12.8,2.56,60.0
1993-02,39.3,15.4,3.68,74.0
1993-03,50.1,16.3,2.45,39.0
1993-04,55.7,24.1,1.60,24.0
1993-05,62.6,31.6,3.13,21.0
1993-06,68.8,35.1,0.61,1.0
1993-07,76.2,38.6,0.14,0.0
1993-08,71.7,41.7,3.33,0.0
1993-09,66.5,32.5,1.47,0.0
1993-10,55.2,24.9,1.44,2.0
1993-11,40.5,8.3,1.11,14.2
1993-12,36.1,0.3,1.52,25.0
1994-01,35.7,-1.8,1.39,22.5
1994-02,34.3,4.6,1.74,27.4
1994-03,45.1,16.1,0.78,7.5
1994-04,50.1,21.7,2.91,28.5
1994-05,60.0,28.8,1.85,0.0
1994-06,75.8,38.0,0.66,0.0
1994-07,78.6,39.8,0.43,0.0
1994-08,76.5,43.0,1.61,0.0
1994-09,67.9,35.3,2.49,0.0
1994-10,54.0,25.1,1.79,6.5
1994-11,38.9,12.2,3.53,37.5
1994-12,38.6,5.7,0.79,11.5
1995-01,34.3,4.8,1.88,30.5
1995-02,43.9,13.1,0.83,12.0
1995-03,42.1,15.8,4.06,47.0
1995-04,46.4,22.4,1.94,22.4
1995-05,52.4,30.6,3.75,8.5
1995-06,66.4,34.1,1.72,0.0
1995-07,73.5,38.6,2.13,0.0
1995-08,75.5,43.3,2.64,0.0
1995-09,66.8,34.7,2.43,2.0
1995-10,56.9,22.1,0.33,4.0
1995-11,48.4,16.1,1.39,11.0
1995-12,38.7,7.8,0.97,10.0
1996-01,34.5,3.4,3.30,42.0
1996-02,40.9,8.7,1.35,15.6
1996-03,41.4,14.2,0.96,12.5
1996-04,50.1,21.8,2.25,19.3
1996-05,64.5,31.6,0.50,0.0
1996-06,72.3,36.9,1.43,0.0
1996-07,77.8,42.2,1.74,0.0
1996-08,75.0,40.2,0.84,0.0
1996-09,63.4,32.8,3.04,6.5
1996-10,54.5,22.9,5.26,13.5
1996-11,45.2,16.6,2.52,24.8
1996-12,34.8,3.1,1.95,29.6
1997-01,35.0,4.4,2.81,35.9
1997-02,36.8,3.9,1.53,22.8
1997-03,47.7,13.4,0.46,6.1
1997-04,46.5,21.0,2.84,25.4
1997-05,60.5,31.0,2.32,T
1997-06,70.7,34.8,2.16,0.0
1997-07,74.4,40.2,2.01,0.0
1997-08,72.5,42.4,2.90,0.0
1997-09,67.3,38.7,4.25,0.0
1997-10,56.1,23.0,2.18,12.0
1997-11,42.8,13.2,1.98,18.5
1997-12,35.1,1.0,1.23,17.1
1998-01,37.1,3.0,1.07,18.9
1998-02,34.7,6.4,1.50,21.6
1998-03,40.5,10.3,3.17,42.4
1998-04,46.0,19.4,1.74,20.7
1998-05,61.9,30.8,0.54,5.0
1998-06,69.2,34.1,0.18,0.0
1998-07,76.7,44.1,2.28,0.0
1998-08,74.5,40.9,2.49,0.0
1998-09,71.3,39.0,1.47,0.0
1998-10,56.5,27.7,3.19,9.5
1998-11,46.6,16.1,2.13,28.5
1998-12,38.7,2.9,0.69,11.6
1999-01,37.6,5.8,2.05,34.0
1999-02,40.5,10.1,0.81,15.0
1999-03,49.6,21.2,1.03,17.0
1999-04,46.9,23.4,4.29,32.8
1999-05,57.9,29.4,2.82,17.5
1999-06,69.1,34.3,2.08,0.0
1999-07,72.6,44.6,6.29,0.0
1999-08,68.6,43.3,5.38,0.0
1999-09,64.4,32.7,1.84,0.0
1999-10,62.2,21.1,0.27,T
1999-11,56.1,13.8,0.25,3.5
1999-12,38.2,0.8,0.94,12.6
2000-01,36.8,5.3,2.42,28.1
2000-02,41.5,11.6,3.08,18.0
2000-03,41.9,13.4,3.57,33.6
2000-04,55.7,23.5,1.03,8.5
2000-05,66.7,30.6,1.47,T
2000-06,74.6,35.2,0.75,0.0
2000-07,78.3,40.3,1.21,0.0
2000-08,76.6,43.7,2.41,0.0
2000-09,69.2,35.5,1.70,0.1
2000-10,57.3,26.6,2.28,2.2
2000-11,37.9,7.5,0.72,9.3
2000-12,38.7,4.0,0.89,13.5
2001-01,36.3,-0.8,0.93,26.5
2001-02,38.3,10.1,1.51,24.5
2001-03,42.2,15.1,1.15,16.0
2001-04,53.0,24.1,2.12,15.0
2001-05,63.8,29.4,2.28,15.0
2001-06,73.3,34.4,0.70,3.0
2001-07,77.5,43.0,2.90,0.0
2001-08,72.9,42.2,3.50,0.0
2001-09,71.2,31.9,1.35,0.0
2001-10,59.8,23.5,1.07,2.0
2001-11,48.2,17.0,2.30,29.0
2001-12,35.5,-1.6,1.60,22.0
2002-01,35.1,1.6,0.20,4.1
2002-02,37.1,-1.2,0.61,7.5
